theory,variant,comparison_scope,direction,benchmark,full_status,variant_status,full_runtime_seconds,variant_runtime_seconds
QF_LIA,no_bicp,complete-full-list,full-only,/arctic-matrix/constraint-2094073.smt2,sat,timeout,472.7011022567749,1200.0047912597656
QF_LIA,no_bicp,complete-full-list,full-only,/arctic-matrix/constraint-3187060.smt2,sat,timeout,959.5711188316345,1200.00089097023
QF_LIA,no_bicp,complete-full-list,full-only,/arctic-matrix/constraint-533042.smt2,sat,timeout,171.19680523872375,1200.021496772766
QF_LIA,no_bicp,complete-full-list,full-only,/arctic-matrix/constraint-968440.smt2,sat,timeout,62.70981478691101,1200.0141468048096
QF_LIA,no_bicp,complete-full-list,full-only,/arctic-matrix/constraint-985918.smt2,sat,timeout,500.1039321422577,1200.0099351406097
QF_LIA,no_bicp,complete-full-list,ablated-only,/arctic-matrix/constraint-993227.smt2,timeout,sat,1200.001678943634,312.82220244407654
QF_LIA,no_bicp,complete-full-list,full-only,/convert/convert-jpg2gif-query-1617.smt2,sat,timeout,3.674919843673706,1200.025377035141
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-13-50.smt2,sat,timeout,607.2483479976654,1200.018257856369
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-14-48.smt2,sat,timeout,738.943915605545,1200.0159142017365
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-14-49.smt2,sat,timeout,1165.2673568725586,1200.0084793567657
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-14-50.smt2,sat,timeout,833.6801223754883,1200.0217418670654
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-16-47.smt2,sat,timeout,688.3255376815796,1200.0196142196655
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-16-49.smt2,sat,timeout,706.1403152942657,1200.0110943317413
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-16-50.smt2,sat,timeout,810.0457081794739,1200.0094075202942
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-17-47.smt2,sat,timeout,629.1409718990326,1200.0150051116943
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-18-49.smt2,sat,timeout,642.674488067627,1200.001062631607
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-18-50.smt2,sat,timeout,569.9306244850159,1200.0021567344666
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-19-50.smt2,sat,timeout,748.5111944675446,1200.0008506774902
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-20-49.smt2,sat,timeout,920.422523021698,1200.00483751297
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-20-50.smt2,sat,timeout,957.7929449081421,1200.0009717941284
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-22-50.smt2,sat,timeout,732.2697968482971,1200.0158760547638
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-24-48.smt2,sat,timeout,751.1954162120819,1200.0050268173218
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-24-49.smt2,sat,timeout,766.4639213085175,1200.0065867900848
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-24-50.smt2,sat,timeout,829.4806261062622,1200.0130715370178
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-25-46.smt2,sat,timeout,395.4581370353699,1200.0071852207184
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-25-49.smt2,sat,timeout,588.4272873401642,1200.0152325630188
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-27-48.smt2,sat,timeout,811.0586812496185,1200.0007364749908
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-27-49.smt2,sat,timeout,1046.5742931365967,1200.0114300251007
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-27-50.smt2,sat,timeout,824.184680223465,1200.013617515564
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-28-47.smt2,sat,timeout,741.3896596431732,1200.0116128921509
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-28-48.smt2,sat,timeout,1087.3507866859436,1200.007066488266
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-28-49.smt2,sat,timeout,638.2931318283081,1200.0210828781128
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-28-50.smt2,sat,timeout,1025.5966112613678,1200.0115048885345
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-29-47.smt2,sat,timeout,516.8920803070068,1200.0147066116333
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-29-49.smt2,sat,timeout,600.280410528183,1200.016053199768
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-29-50.smt2,sat,timeout,1101.846347808838,1200.0241355895996
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-30-50.smt2,sat,timeout,697.3441407680511,1200.0171039104462
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-32-46.smt2,sat,timeout,660.7707643508911,1200.0146629810333
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-32-47.smt2,sat,timeout,662.1567323207855,1200.0130712985992
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-32-48.smt2,sat,timeout,660.9930446147919,1200.0128214359283
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-32-49.smt2,sat,timeout,905.0826737880707,1200.0269858837128
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-32-50.smt2,sat,timeout,1037.4896783828735,1200.0050694942474
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-33-48.smt2,sat,timeout,925.7039499282837,1200.0280766487122
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-33-50.smt2,sat,timeout,607.0179426670074,1200.0135970115662
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-34-46.smt2,sat,timeout,565.1854040622711,1200.0156662464142
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-34-47.smt2,sat,timeout,845.481098651886,1200.0271291732788
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-34-49.smt2,sat,timeout,778.2897834777832,1200.0226385593414
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-34-50.smt2,sat,timeout,1054.698975801468,1200.0061438083649
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-35-46.smt2,unsat,timeout,1030.9614555835724,1200.0121924877167
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-36-45.smt2,sat,timeout,554.5817160606384,1200.023417711258
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-36-47.smt2,sat,timeout,1108.770503282547,1200.023201227188
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-36-48.smt2,sat,timeout,847.4248135089874,1200.0053870677948
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-36-49.smt2,sat,timeout,906.1914119720459,1200.0267050266266
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-36-50.smt2,sat,timeout,853.7642512321472,1200.011159658432
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-37-47.smt2,unsat,timeout,936.4639456272125,1200.012285232544
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-38-45.smt2,sat,timeout,652.0823714733124,1200.0273759365082
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-38-48.smt2,sat,timeout,1039.781082868576,1200.0227303504944
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-38-49.smt2,sat,timeout,765.988080739975,1200.0170743465424
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-39-47.smt2,sat,timeout,929.431578874588,1200.000911474228
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-39-48.smt2,sat,timeout,906.6777715682983,1200.0140626430511
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-39-49.smt2,sat,timeout,1154.9247767925262,1200.0076072216034
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-4-49.smt2,sat,timeout,832.1716644763947,1200.015640258789
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-4-50.smt2,sat,timeout,915.1604740619659,1200.007868528366
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-40-46.smt2,sat,timeout,1049.3568794727325,1200.0239794254303
QF_LIA,no_bicp,complete-full-list,full-only,/nec-smt/large/checkpass_pwd/prp-40-47.smt2,sat,timeout,823.1182715892792,1200.0075557231903
